video_name,frame,isUsingCubic,Err
20231117_140815_118,0,true,9.397444
20231117_140815_118,0,true,9.397444
20231117_140815_118,50,true,6.833686
20231117_140815_118,100,true,7.833892
20231117_140815_118,150,true,12.756397
20231117_140815_118,200,true,7.658840
20231117_140815_118,250,true,5.692710
20231117_140617_461,0,true,8.705899
20231117_140617_461,50,true,11.364238
20231117_140617_461,100,true,11.022092
20231117_140617_461,150,true,8.925116
20231117_140617_461,200,true,13.862549
20231117_140617_461,250,true,9.998790
20231117_140617_461,300,true,11.593577
20231117_140617_461,350,true,6.270136
20231117_140617_461,400,true,6.551946
20231117_140617_461,450,true,6.799294
20231117_140617_461,500,true,11.257645
20231117_140617_461,550,true,6.501771
20231117_140617_461,600,true,12.596966
20231117_140617_461,650,true,18.012357
20231117_140617_461,700,true,10.500399
20231117_140617_461,750,true,8.916165
20231117_140617_461,800,true,8.627803
20231117_140617_461,850,true,6.167487
20231117_140617_461,900,true,8.188655
20231117_140617_461,950,true,9.888117
20231117_140617_461,1000,true,28.833164
20231117_140617_461,1050,true,16.467228
20231117_140617_461,1100,true,46.851012
20231117_140552_523,0,true,7.479476
20231117_140552_523,50,true,9.058175
20231117_140552_523,100,true,8.375433
20231117_140552_523,150,true,8.485693
20231117_140552_523,200,true,9.686455
20231117_140552_523,250,true,11.422991
20231117_140552_523,300,true,8.372203
20231117_140552_523,350,true,12.961572
20231117_140552_523,400,true,6.719617
20231117_140552_523,450,true,14.694644
20231117_140552_523,500,true,8.873622
20231117_140552_523,550,true,7.862508
20231117_140552_523,600,true,9.267208
20231117_140746_894,0,true,6.313565
20231117_140746_894,50,true,9.859819
20231117_140746_894,100,true,7.005488
20231117_140746_894,150,true,10.253336
20231117_140746_894,200,true,9.917222
20231117_140758_655,0,true,9.242679
20231117_140758_655,50,true,14.766049
20231117_140758_655,100,true,11.476027
20231117_140758_655,150,true,8.709952
20231117_140758_655,200,true,13.045652
20231117_140758_655,250,true,9.913697
20231117_140758_655,300,true,13.557475
20231117_140758_655,350,true,11.743121
20231117_140723_990,0,true,8.577224
20231117_140723_990,50,true,7.443933
20231117_140723_990,100,true,5.759804
20231117_140723_990,150,true,10.497428
20231117_140723_990,200,true,8.931338
20231117_140723_990,250,true,13.918585
20231117_140723_990,300,true,5.484808
20231117_140723_990,350,true,6.570296
20231117_140723_990,400,true,10.605595
20231117_140917_210,0,true,10.068342
20231117_140917_210,50,true,9.915412
20231117_140917_210,100,true,5.344389
20231117_140917_210,150,true,8.393181
20231117_140857_164,0,true,5.695996
20231117_140857_164,50,true,8.535125
20231117_140857_164,100,true,6.480994
20231117_140857_164,150,true,9.726893
20231117_140934_116,0,true,11.098792
20231117_140934_116,50,true,6.032704
20231117_140934_116,100,true,8.571648
20231117_140934_116,150,true,11.375673
20231117_140934_116,200,true,5.602838
20231117_140934_116,250,true,5.960578
20231117_140934_116,300,true,7.447229
20231117_140934_116,350,true,9.267152
20231117_140934_116,400,true,8.370255

20231117_140815_118,0,no,8.689388
20231117_140815_118,50,no,13.722761
20231117_140815_118,100,no,6.188914
20231117_140815_118,150,no,9.102781
20231117_140815_118,200,no,5.559771
20231117_140815_118,250,no,8.069079
20231117_140617_461,0,no,8.853634
20231117_140617_461,50,no,11.925506
20231117_140617_461,100,no,10.968378
20231117_140617_461,150,no,8.899765
20231117_140617_461,200,no,9.719266
20231117_140617_461,250,no,9.833305
20231117_140617_461,300,no,10.789348
20231117_140617_461,350,no,7.707917
20231117_140617_461,400,no,5.663856
20231117_140617_461,450,no,4.826685
20231117_140617_461,500,no,9.166216
20231117_140617_461,550,no,6.135339
20231117_140617_461,600,no,9.848373
20231117_140617_461,650,no,13.056394
20231117_140617_461,700,no,5.851190
20231117_140617_461,750,no,9.446048
20231117_140617_461,800,no,8.753848
20231117_140617_461,850,no,7.607389
20231117_140617_461,900,no,10.289183
20231117_140617_461,950,no,12.090538
20231117_140617_461,1000,no,28.685106
20231117_140617_461,1050,no,18.954251
20231117_140617_461,1100,no,26.080758
20231117_140552_523,0,no,8.100075
20231117_140552_523,50,no,12.215760
20231117_140552_523,100,no,11.494545
20231117_140552_523,150,no,7.707255
20231117_140552_523,200,no,11.629147
20231117_140552_523,250,no,10.138653
20231117_140552_523,300,no,8.692277
20231117_140552_523,350,no,12.264774
20231117_140552_523,400,no,6.720528
20231117_140552_523,450,no,10.002654
20231117_140552_523,500,no,6.898096
20231117_140552_523,550,no,11.983369
20231117_140552_523,600,no,9.355777
20231117_140746_894,0,no,10.483019
20231117_140746_894,50,no,11.458357
20231117_140746_894,100,no,6.967549
20231117_140746_894,150,no,9.539415
20231117_140746_894,200,no,10.358002
20231117_140758_655,0,no,15.412534
20231117_140758_655,50,no,27.434351
20231117_140758_655,100,no,11.336638
20231117_140758_655,150,no,8.594810
20231117_140758_655,200,no,12.879477
20231117_140758_655,250,no,9.815857
20231117_140758_655,300,no,13.288036
20231117_140758_655,350,no,11.583380
20231117_140723_990,0,no,3.603809
20231117_140723_990,50,no,8.534052
20231117_140723_990,100,no,5.935880
