Filename,Operation,Time_s,Mode,keypoints
N/A,Model_Inference,1.127654,fp32,273
N/A,Model_Inference,0.011262,fp32,273
N/A,Model_Inference,0.011335,fp32,273
N/A,Model_Inference,0.011331,fp32,273
N/A,Model_Inference,0.011375,fp32,273
N/A,Model_Inference,0.011274,fp32,273
N/A,Model_Inference,0.011442,fp32,273
N/A,Model_Inference,0.011321,fp32,273
N/A,Model_Inference,0.011295,fp32,273
2024-07-11_14-10-53_EO,Model_Inference,0.011228,fp32,544
N/A,Model_Inference,0.190802,fp32,273
N/A,Model_Inference,1.133412,fp32,273
N/A,Model_Inference,0.011313,fp32,273
N/A,Model_Inference,0.011251,fp32,273
N/A,Model_Inference,0.011253,fp32,273
N/A,Model_Inference,0.011421,fp32,273
N/A,Model_Inference,0.011264,fp32,273
N/A,Model_Inference,0.011252,fp32,273
N/A,Model_Inference,0.011301,fp32,273
N/A,Model_Inference,0.011321,fp32,273
2024-07-10_15-51-21_EO,Model_Inference,0.011348,fp32,286
N/A,Model_Inference,0.187334,fp32,273
N/A,Model_Inference,1.124740,fp32,273
N/A,Model_Inference,0.011327,fp32,273
N/A,Model_Inference,0.011316,fp32,273
N/A,Model_Inference,0.011365,fp32,273
N/A,Model_Inference,0.011447,fp32,273
N/A,Model_Inference,0.011260,fp32,273
N/A,Model_Inference,0.011268,fp32,273
N/A,Model_Inference,0.011281,fp32,273
N/A,Model_Inference,0.011286,fp32,273
2024-07-11_14-19-12_EO,Model_Inference,0.011404,fp32,327
N/A,Model_Inference,0.195463,fp32,273
N/A,Model_Inference,1.124617,fp32,273
N/A,Model_Inference,0.011270,fp32,273
N/A,Model_Inference,0.011326,fp32,273
N/A,Model_Inference,0.011257,fp32,273
N/A,Model_Inference,0.011491,fp32,273
N/A,Model_Inference,0.011311,fp32,273
N/A,Model_Inference,0.011353,fp32,273
N/A,Model_Inference,0.011271,fp32,273
N/A,Model_Inference,0.011319,fp32,273
2024-07-11_14-18-28_EO,Model_Inference,0.011302,fp32,363
N/A,Model_Inference,0.202181,fp32,273
N/A,Model_Inference,1.135335,fp32,273
N/A,Model_Inference,0.011481,fp32,273
N/A,Model_Inference,0.014001,fp32,273
N/A,Model_Inference,0.011575,fp32,273
N/A,Model_Inference,0.011679,fp32,273
N/A,Model_Inference,0.011277,fp32,273
N/A,Model_Inference,0.011339,fp32,273
N/A,Model_Inference,0.011254,fp32,273
N/A,Model_Inference,0.011311,fp32,273
2024-07-11_14-17-59_EO,Model_Inference,0.011318,fp32,344
N/A,Model_Inference,0.210174,fp32,273
N/A,Model_Inference,1.152591,fp32,273
N/A,Model_Inference,0.011367,fp32,273
N/A,Model_Inference,0.011279,fp32,273
N/A,Model_Inference,0.011429,fp32,273
N/A,Model_Inference,0.011432,fp32,273
N/A,Model_Inference,0.011379,fp32,273
N/A,Model_Inference,0.011371,fp32,273
N/A,Model_Inference,0.011348,fp32,273
