Filename,Operation,Time_s,Mode,keypoints
2024-07-11_14-12-14,Model_Inference,0.012160,fp16,471
2024-07-11_14-19-12,Model_Inference,0.012083,fp16,353
2024-07-10_15-44-58,Model_Inference,0.012097,fp16,375
2024-07-11_14-02-35,Model_Inference,0.012083,fp16,583
2024-07-11_14-10-53,Model_Inference,0.012043,fp16,554
2024-07-10_15-40-53,Model_Inference,0.012120,fp16,398
2024-07-10_15-54-07,Model_Inference,0.012170,fp16,292
2024-07-11_14-13-12,Model_Inference,0.012134,fp16,491
2024-07-11_14-05-35,Model_Inference,0.012505,fp16,436
2024-07-11_14-17-18,Model_Inference,0.012126,fp16,403
2024-07-10_15-53-12,Model_Inference,0.012534,fp16,303
2024-07-11_14-06-07,Model_Inference,0.012134,fp16,436
2024-07-10_15-51-45,Model_Inference,0.012362,fp16,285
2024-07-10_15-38-54,Model_Inference,0.012330,fp16,450
2024-07-10_15-51-21,Model_Inference,0.012136,fp16,330
2024-07-11_14-04-22,Model_Inference,0.012327,fp16,541
2024-07-11_14-17-59,Model_Inference,0.012181,fp16,341
2024-07-10_15-52-37,Model_Inference,0.012094,fp16,289
2024-07-10_15-50-55,Model_Inference,0.012072,fp16,321
2024-07-10_15-48-15,Model_Inference,0.012065,fp16,319
2024-07-10_15-43-03,Model_Inference,0.012153,fp16,317
2024-07-11_14-15-08,Model_Inference,0.012121,fp16,401
2024-07-11_14-13-51,Model_Inference,0.012212,fp16,444
2024-07-11_14-18-28,Model_Inference,0.012604,fp16,377
2024-07-10_15-41-46,Model_Inference,0.012090,fp16,404
2024-07-11_14-03-31,Model_Inference,0.012441,fp16,496
2024-07-11_14-16-32,Model_Inference,0.012097,fp16,420
2024-07-11_14-14-24,Model_Inference,0.012108,fp16,352
2024-07-10_15-40-03,Model_Inference,0.012115,fp16,396
2024-07-10_15-51-48,Model_Inference,0.012085,fp16,287
2024-07-10_15-52-36,Model_Inference,0.012498,fp16,265
2024-07-10_15-43-56,Model_Inference,0.012101,fp16,290
2024-07-11_14-12-14,Model_Inference,0.012142,fp16,429
2024-07-11_14-19-12,Model_Inference,0.012205,fp16,334
2024-07-10_15-44-58,Model_Inference,0.012194,fp16,326
2024-07-11_14-02-35,Model_Inference,0.012233,fp16,494
