Filename,Operation,Time_s,Mode,keypoints
2024-07-11_14-13-51,Model_Inference,0.019078,fp16,427
2024-07-10_15-38-54,Model_Inference,0.018881,fp16,407
2024-07-10_15-50-55,Model_Inference,0.018874,fp16,300
2024-07-11_14-15-08,Model_Inference,0.018953,fp16,366
2024-07-11_14-12-14,Model_Inference,0.019038,fp16,430
2024-07-10_15-52-36,Model_Inference,0.019229,fp16,267
2024-07-10_15-51-48,Model_Inference,0.018943,fp16,290
2024-07-11_14-17-18,Model_Inference,0.019240,fp16,374
2024-07-11_14-10-53,Model_Inference,0.019095,fp16,550
2024-07-10_15-51-21,Model_Inference,0.019384,fp16,290
2024-07-11_14-19-12,Model_Inference,0.019406,fp16,332
2024-07-11_14-18-28,Model_Inference,0.019063,fp16,372
2024-07-11_14-17-59,Model_Inference,0.019421,fp16,352
2024-07-11_14-03-31,Model_Inference,0.018911,fp16,431
2024-07-10_15-54-07,Model_Inference,0.018983,fp16,247
2024-07-10_15-43-56,Model_Inference,0.018823,fp16,292
2024-07-10_15-52-37,Model_Inference,0.018876,fp16,275
2024-07-11_14-16-32,Model_Inference,0.018985,fp16,416
2024-07-10_15-41-46,Model_Inference,0.019107,fp16,379
2024-07-10_15-43-03,Model_Inference,0.019278,fp16,262
2024-07-10_15-40-03,Model_Inference,0.018844,fp16,396
2024-07-10_15-51-45,Model_Inference,0.018968,fp16,282
2024-07-10_15-40-53,Model_Inference,0.019089,fp16,381
2024-07-11_14-13-12,Model_Inference,0.019035,fp16,420
2024-07-11_14-06-07,Model_Inference,0.018953,fp16,359
2024-07-11_14-14-24,Model_Inference,0.019006,fp16,352
2024-07-10_15-44-58,Model_Inference,0.018948,fp16,328
2024-07-11_14-02-35,Model_Inference,0.019258,fp16,495
2024-07-10_15-53-12,Model_Inference,0.018967,fp16,278
2024-07-10_15-48-15,Model_Inference,0.018973,fp16,292
2024-07-11_14-05-35,Model_Inference,0.018960,fp16,394
2024-07-11_14-04-22,Model_Inference,0.019200,fp16,492
