-------------------------,Round_1,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,252,6.04446
2024-07-11_14-14-24,320*240,212,13.1908
2024-07-10_15-40-03,320*240,319,12.628
2024-07-10_15-51-48,320*240,121,3.89722
2024-07-10_15-52-36,320*240,108,3.13704
2024-07-10_15-43-56,320*240,254,0.830787
2024-07-11_14-12-14,320*240,282,29.1367
2024-07-11_14-19-12,320*240,137,8.20692
2024-07-10_15-44-58,320*240,163,15.4538
2024-07-11_14-02-35,320*240,431,6.61201
2024-07-11_14-10-53,320*240,403,3.62542
2024-07-10_15-40-53,320*240,224,1.32968
2024-07-10_15-54-07,320*240,147,10.3595
2024-07-11_14-13-12,320*240,278,7.09514
2024-07-11_14-05-35,320*240,247,19.3654
2024-07-11_14-17-18,320*240,194,6.94291
2024-07-10_15-53-12,320*240,150,11.0994
2024-07-11_14-06-07,320*240,265,2.69641
2024-07-10_15-51-45,320*240,101,19.4525
2024-07-10_15-38-54,320*240,257,16.2334
2024-07-10_15-51-21,320*240,93,47.1271
2024-07-11_14-04-22,320*240,331,5.50765
2024-07-11_14-17-59,320*240,191,2.85002
2024-07-10_15-52-37,320*240,102,6.79454
2024-07-10_15-50-55,320*240,137,12.5949
2024-07-10_15-48-15,320*240,138,8.73118
2024-07-10_15-43-03,320*240,144,8.40359
2024-07-11_14-15-08,320*240,165,10.2711
2024-07-11_14-13-51,320*240,176,7.49529
2024-07-11_14-18-28,320*240,161,10.3476
2024-07-10_15-41-46,320*240,233,5.79928
2024-07-11_14-03-31,320*240,291,4.96072
-------------------------,Round_6,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,229,6.29241
2024-07-11_14-14-24,320*240,174,22.7412
2024-07-10_15-40-03,320*240,347,7.46747
2024-07-10_15-51-48,320*240,110,11.068
2024-07-10_15-52-36,320*240,120,3.34192
2024-07-10_15-43-56,320*240,258,0.650805
2024-07-11_14-12-14,320*240,227,24.4278
2024-07-11_14-19-12,320*240,151,7.82962
2024-07-10_15-44-58,320*240,165,15.7428
2024-07-11_14-02-35,320*240,431,6.50618
2024-07-11_14-10-53,320*240,382,3.27717
2024-07-10_15-40-53,320*240,229,2.42145
2024-07-10_15-54-07,320*240,140,13.9503
2024-07-11_14-13-12,320*240,282,12.4116
2024-07-11_14-05-35,320*240,234,21.4293
2024-07-11_14-17-18,320*240,194,6.94291
2024-07-10_15-53-12,320*240,136,9.83816
2024-07-11_14-06-07,320*240,248,5.64982
2024-07-10_15-51-45,320*240,95,3.67666
2024-07-10_15-38-54,320*240,270,20.8794
2024-07-10_15-51-21,320*240,94,34.8968
2024-07-11_14-04-22,320*240,331,5.50765
2024-07-11_14-17-59,320*240,189,2.80722
2024-07-10_15-52-37,320*240,100,8.57719
2024-07-10_15-50-55,320*240,133,18.9161
2024-07-10_15-48-15,320*240,140,12.1981
2024-07-10_15-43-03,320*240,153,10.9564
2024-07-11_14-15-08,320*240,165,10.2711
2024-07-11_14-13-51,320*240,228,9.00334
2024-07-11_14-18-28,320*240,192,5.45458
2024-07-10_15-41-46,320*240,251,2.91618
2024-07-11_14-03-31,320*240,284,6.3459
-------------------------,Round_7,-------------------------,-------------------------
2024-07-11_14-16-32,320*240,254,5.14471
2024-07-11_14-14-24,320*240,212,13.1908
2024-07-10_15-40-03,320*240,257,9.51069
2024-07-10_15-51-48,320*240,108,12.7519
2024-07-10_15-52-36,320*240,102,6.84439
2024-07-10_15-43-56,320*240,258,0.650805
2024-07-11_14-12-14,320*240,252,21.1653
2024-07-11_14-19-12,320*240,155,6.09417
2024-07-10_15-44-58,320*240,171,14.8616
