Image_Name,Inference_Time_Seconds,Features_Count
2024-07-10_15-41-46,0.010275,404
2024-07-11_14-03-31,0.010128,491
2024-07-11_14-16-32,0.014915,426
2024-07-11_14-14-24,0.010163,406
2024-07-10_15-40-03,0.010155,507
2024-07-10_15-51-48,0.010177,316
2024-07-10_15-52-36,0.010226,282
2024-07-10_15-43-56,0.010172,355
2024-07-11_14-12-14,0.010178,473
2024-07-11_14-19-12,0.010177,351
2024-07-10_15-44-58,0.010211,373
2024-07-11_14-02-35,0.01018,580
2024-07-11_14-10-53,0.010142,556
2024-07-10_15-40-53,0.010172,399
2024-07-10_15-54-07,0.010189,293
2024-07-11_14-13-12,0.010167,488
2024-07-11_14-05-35,0.010141,430
2024-07-11_14-17-18,0.010167,404
2024-07-10_15-53-12,0.010161,297
2024-07-11_14-06-07,0.010179,437
2024-07-10_15-51-45,0.010154,283
2024-07-10_15-38-54,0.010145,450
2024-07-10_15-51-21,0.010135,329
2024-07-11_14-04-22,0.010193,540
2024-07-11_14-17-59,0.010184,339
2024-07-10_15-52-37,0.010179,288
2024-07-10_15-50-55,0.010153,319
2024-07-10_15-48-15,0.010155,324
2024-07-10_15-43-03,0.010131,320
2024-07-11_14-15-08,0.010178,401
2024-07-11_14-13-51,0.010163,441
2024-07-11_14-18-28,0.010143,377
2024-07-10_15-41-46,0.010162,404
2024-07-11_14-03-31,0.010154,491
2024-07-11_14-16-32,0.015075,428
2024-07-11_14-14-24,0.010249,408
2024-07-10_15-40-03,0.010189,507
2024-07-10_15-51-48,0.010272,317
2024-07-10_15-52-36,0.010177,281
2024-07-10_15-43-56,0.010148,354
2024-07-11_14-12-14,0.01014,473
2024-07-11_14-19-12,0.010158,351
2024-07-10_15-44-58,0.01016,372
2024-07-11_14-02-35,0.010137,580
2024-07-11_14-10-53,0.010129,555
2024-07-10_15-40-53,0.010148,397
2024-07-10_15-54-07,0.010143,293
2024-07-11_14-13-12,0.010161,488
2024-07-11_14-05-35,0.010151,431
2024-07-11_14-17-18,0.010118,403
2024-07-10_15-53-12,0.010149,296
2024-07-11_14-06-07,0.010139,437
2024-07-10_15-51-45,0.010152,283
2024-07-10_15-38-54,0.010122,449
2024-07-10_15-51-21,0.01016,327
2024-07-11_14-04-22,0.010164,541
2024-07-11_14-17-59,0.010192,339
2024-07-10_15-52-37,0.010129,288
2024-07-10_15-50-55,0.010155,320
2024-07-10_15-48-15,0.010153,321
2024-07-10_15-43-03,0.01016,319
2024-07-11_14-15-08,0.010143,402
2024-07-11_14-13-51,0.010139,443
2024-07-11_14-18-28,0.010142,378
2024-07-10_15-41-46,0.010117,405
2024-07-11_14-03-31,0.010144,491
2024-07-11_14-16-32,0.014983,427
2024-07-11_14-14-24,0.010164,408
2024-07-10_15-40-03,0.010121,507
2024-07-10_15-51-48,0.01015,316
2024-07-10_15-52-36,0.010151,281
2024-07-10_15-43-56,0.010152,354
2024-07-11_14-12-14,0.010203,472
2024-07-11_14-19-12,0.01015,349
2024-07-10_15-44-58,0.010186,373
2024-07-11_14-02-35,0.010271,581
2024-07-11_14-10-53,0.010256,555
2024-07-10_15-40-53,0.010164,399
2024-07-10_15-54-07,0.010145,292
2024-07-11_14-13-12,0.010155,489
2024-07-11_14-05-35,0.010133,430
2024-07-11_14-17-18,0.010154,404
2024-07-10_15-53-12,0.010142,297
2024-07-11_14-06-07,0.010217,435
2024-07-10_15-51-45,0.010134,282
2024-07-10_15-38-54,0.010172,450
2024-07-10_15-51-21,0.01014,327
2024-07-11_14-04-22,0.010173,542
2024-07-11_14-17-59,0.010199,339
2024-07-10_15-52-37,0.01016,288
2024-07-10_15-50-55,0.010174,319
2024-07-10_15-48-15,0.010147,324
2024-07-10_15-43-03,0.010225,319
2024-07-11_14-15-08,0.01024,401
2024-07-11_14-13-51,0.01015,442
2024-07-11_14-18-28,0.010147,378
2024-07-10_15-41-46,0.010126,404
2024-07-11_14-03-31,0.010168,491
2024-07-11_14-16-32,0.014819,427
2024-07-11_14-14-24,0.010195,407
2024-07-10_15-40-03,0.01014,507
2024-07-10_15-51-48,0.010099,315
2024-07-10_15-52-36,0.010133,283
2024-07-10_15-43-56,0.010142,355
2024-07-11_14-12-14,0.010163,472
