-------------------------,Round_1,-------------------------,-------------------------
2024-07-11_14-13-12,   7.76935
2024-07-11_14-05-35,   28.7489
2024-07-11_14-17-18,   6.52153
2024-07-10_15-53-12,   25.9381
2024-07-11_14-06-07,   3.27136
2024-07-10_15-51-45,   12.6603
2024-07-10_15-38-54,   16.3362
2024-07-10_15-51-21,   5.18281
2024-07-11_14-04-22,   9.09801
2024-07-11_14-17-59,   0.566737
2024-07-10_15-52-37,   6.17236
2024-07-10_15-50-55,   13.5459
2024-07-10_15-48-15,   7.21701
2024-07-10_15-43-03,   6.34284
2024-07-11_14-15-08,   5.80953
2024-07-11_14-13-51,   11.7043
2024-07-11_14-18-28,   15.1987
2024-07-10_15-41-46,   3.15506
2024-07-11_14-03-31,   4.96718
